id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
01011101,0.70700312,0.36569428,0.61668533,0.06563177,1.1962581
01011103,-1.4910268,-0.96274322,-0.16532983,-1.6309689,-2.2273395
01011104,-1.7241974,-2.1263702,-1.0487362,-2.9186726,-0.51757973
01011201,1.1661986,0.65399492,0.48914447,0.73108768,1.9112432
01011204,0.63956213,0.49667439,0.76697713,0.15972435,0.74023479
01011301,0.52775019,1.0254173,1.1606737,0.75256306,-0.64021522
01011302,0.66643935,0.78542751,0.88084191,0.58461887,0.23760417
01011303,0.33495122,0.39155316,0.41013521,0.32042974,0.12807702
01011304,-0.21626265,0.18931739,-0.11666297,0.46989378,-0.96457285
01011305,0.53550327,0.56464714,0.34775802,0.70576793,0.34785956
01011306,-0.060205199,0.51112521,0.25221863,0.70144534,-1.192366
01011401,0.69663608,0.84941405,0.90604693,0.6788007,0.19347288
01011402,0.75002384,0.89060307,1.046643,0.61505568,0.25027552
01022101,-0.93461198,-1.0981411,-1.0562875,-0.99263829,-0.3527064
01022102,-1.8123937,-1.6361061,-1.4559255,-1.5967425,-1.6989292
01022104,-0.8745147,-1.0707971,-0.71960419,-1.2783028,-0.26415256
01022105,-1.1871626,-1.5706129,-1.2587065,-1.6717634,-0.1077268
01022106,0.26895443,0.19771366,0.13433382,0.23456286,0.34684002
01022201,-0.97576833,-0.91197729,-0.56056678,-1.1410122,-0.86946487
01022202,-2.0265596,-2.3704758,-1.6031677,-2.8196964,-0.83538324
01022203,-1.4389786,-1.5842408,-1.258597,-1.6973,-0.77945453
01022204,-0.048628908,-0.15387477,0.12152185,-0.40862337,0.15953694
01022205,-1.9125491,-2.4417977,-0.88739091,-3.6685469,-0.43019104
01022206,0.55012655,-0.025584409,0.28267905,-0.33041477,1.5561538
01022207,0.41149005,0.39156422,0.68411481,0.046470758,0.32062343
01033101,-1.8766011,-1.7125793,-1.9291543,-1.2661982,-1.6922294
01033102,-1.5667593,-1.2790515,-1.4801878,-0.90628308,-1.7193198
01033201,-1.1393434,-1.7034233,-1.5603918,-1.6178774,0.30838901
01033202,-0.89733422,-0.93038481,-1.1401852,-0.59573877,-0.57379979
01033203,-2.170073,-1.9284858,-1.7872689,-1.8109246,-2.0911586
01044101,-0.77812845,-0.75132352,-0.93021047,-0.47161868,-0.61108565
01044102,-0.6224373,-0.56021494,-0.88592881,-0.15932748,-0.55894369
01044103,-1.0849853,-1.0320555,-0.9234553,-1.0021672,-0.90966362
01044201,-1.6369392,-1.767873,-1.8647529,-1.4337674,-0.92306322
01044202,-1.1199385,-1.1891432,-0.89419848,-1.3245202,-0.69920254
01044203,-2.4150159,-1.9720719,-1.6029727,-2.0765443,-2.6980731
02010101,-1.8704134,-2.3588724,-1.6291728,-2.7720418,-0.42319995
02010102,-2.5918868,-2.9476662,-2.1704566,-3.3293369,-1.2254281
02010103,-2.2539194,-2.5687108,-2.7634282,-2.0293055,-0.99180901
02010104,-2.7761753,-3.4616098,-2.3663025,-4.0924139,-0.70983487
02020202,-0.14212939,-0.39189401,-0.23132206,-0.49987885,0.39461252
02020203,0.021068919,-0.16554955,-0.051176235,-0.25770825,0.38834965
02020204,-0.55168676,-0.44340411,0.0050879642,-0.83239704,-0.65711033
02020205,-0.21704103,-0.48648193,-0.041820783,-0.8658635,0.35951138
02020206,-0.81931013,-1.069479,-0.65772241,-1.3377253,-0.11806779
02030301,-2.7772892,-2.9139283,-1.6530809,-3.7837641,-1.8435574
02030302,-1.6159066,-2.0938146,-1.2462995,-2.6603668,-0.2670655
02030401,-1.1205037,-1.159277,-0.65758574,-1.505408,-0.7766872
02030402,-0.7124939,-1.1778126,-0.58065307,-1.6169249,0.38616493
02040501,-0.60515565,-0.031043427,-0.45985061,0.40192938,-1.58445
02040502,0.2062144,0.32899845,0.075458385,0.53839117,-0.081655838
02040503,0.42495981,0.59174424,0.51716107,0.586923,-0.024416247
02040701,-0.007791114,0.056731276,-0.057096593,0.16294654,-0.12928267
02040702,0.55270404,0.55707896,0.57394737,0.46545771,0.39417556
02050601,-0.43692276,-0.02450091,0.042564463,-0.088278577,-1.1668776
02050602,0.098266624,-0.012838789,0.14541414,-0.16936892,0.28741571
02050801,-0.51089531,-0.030766804,-0.11328103,0.055875935,-1.3485005
02050802,0.28776601,0.49777028,0.43690276,0.49184346,-0.2140497
02050803,-0.086595528,0.16523898,-0.018692803,0.32699782,-0.56447834
02050804,-0.27333656,1.2898844,1.3581424,1.0485406,-3.3979108
03010101,-1.4573673,-0.70046371,-0.58791822,-0.71901596,-2.6202972
03010102,-1.038196,-0.43886924,-0.88514012,0.066292256,-1.9514824
03020203,0.74207002,0.90951085,0.69063741,1.0063397,0.21663088
03020209,0.63098514,0.73649347,0.74299246,0.63116658,0.2456148
03020210,0.31608549,0.6074577,0.8456893,0.28771308,-0.38110775
03020307,0.81380498,0.67364013,0.73390114,0.52298534,0.87728935
03030405,0.74319679,0.58158749,0.54310054,0.5420329,0.87656111
03030406,1.3367093,1.2712734,1.3222038,1.0497545,1.1078498
03030711,1.1372608,1.2616185,1.2186975,1.1352464,0.58104169
03030715,0.9368512,1.0049924,1.0424269,0.83270085,0.54346454
03030716,1.4442517,1.4152845,1.2818669,1.3587891,1.1253276
03040508,1.1534925,1.0454133,1.0252516,0.92529392,1.0660489
03040512,0.91289741,0.94647026,0.86371678,0.90221965,0.60521924
03040513,0.64914668,0.82984662,1.0336682,0.51467037,0.091082469
03040614,0.41989878,0.51570356,0.42499465,0.53721172,0.11802731
03040818,0.26465562,0.42747173,0.30340028,0.49418199,-0.13001092
03050919,-0.018311499,0.55567116,0.33962131,0.69715714,-1.1702275
03050920,-0.34943277,0.46545324,0.20779778,0.66065085,-1.9015253
03050923,-0.24102682,-0.080947287,-0.12326659,-0.027765902,-0.50024766
03050924,-0.62128633,-0.18104078,-0.17295867,-0.16482955,-1.3543264
03050925,0.04566016,0.34740323,0.21870498,0.42948443,-0.57365412
03051017,0.57246429,0.23999503,0.15635198,0.29143384,1.1039174
03051021,-0.4167178,0.041406337,-0.41343173,0.4906882,-1.2078047
03051022,0.34655169,0.39165056,-0.075238198,0.80598485,0.19507501
03061126,0.085522324,0.34485632,0.44428039,0.199157,-0.47432235
03061131,0.3694306,0.57355839,0.56032759,0.50982499,-0.14574087
03061227,0.58424503,0.65753412,0.70661849,0.52021712,0.27416176
03061228,0.075319186,0.12031255,-0.051433824,0.27591452,-0.024416247
03061332,0.057541829,0.29057693,0.69145203,-0.14928983,-0.46281615
03061429,-0.15240593,-0.12695776,-0.40308258,0.16620316,-0.14355616
03061430,-0.64721769,-0.76161426,-0.65625024,-0.76477951,-0.24740304
03061434,0.091571093,0.38303533,0.29421812,0.42045411,-0.52194917
03061435,-0.4214668,-0.18223853,-0.52805215,0.18802914,-0.77202648
03061441,1.4015183,1.5102153,1.5862635,1.2315156,0.79776567
03071536,1.0233994,0.84663612,0.91900343,0.6606611,1.1044999
03071537,0.66134357,0.6980775,0.95495111,0.34753084,0.39024308
03071633,-1.2608844,-1.452592,-0.26495099,-2.4453139,-0.61647463
03071638,0.37386546,0.68323159,0.74348199,0.53130031,-0.3627561
03071639,0.62392038,0.68094724,0.77716696,0.49335319,0.33300349
04010101,-0.62667167,-0.85226816,-1.3513094,-0.23886347,0.038357958
04010103,-0.87795186,-1.2980342,-1.3520085,-1.0698804,0.21968949
04020205,1.6405853,1.436015,1.3244494,1.3548859,1.6260648
04020206,0.56378305,0.60726291,0.9900924,0.14294651,0.29600894
04020207,1.4092958,1.1099023,1.1278214,0.94304854,1.6412121
04020208,0.85881323,0.51180625,1.2684543,-0.31351963,1.2824816
04020209,1.274806,1.5325531,1.5545886,1.3048687,0.40451655
04020311,0.92947388,0.7164377,0.74829572,0.58844292,1.1128019
04020312,-0.0016717995,-0.51789486,0.93574363,-1.9020386,0.94836551
04020313,0.58587939,0.44697332,0.42554,0.40842861,0.71387249
04030415,-3.0308611,-2.21259,-1.0375295,-3.0907495,-3.9733653
04030416,-0.58773369,-0.90884507,-0.20417836,-1.4915565,0.17512125
04030417,0.38480711,-0.015315585,0.43260592,-0.46118194,1.0664859
04030518,-0.40574512,-0.44445497,-0.37059474,-0.45867509,-0.22307986
04030519,-0.57495284,-0.61286807,-0.47645834,-0.6670388,-0.35299772
04030620,-0.027107662,-0.24724509,0.071282431,-0.53259552,0.40684691
04030621,-0.85089678,-1.0427868,-0.30181152,-1.6438335,-0.28396064
04030622,-0.36339736,-0.70747447,-0.13436396,-1.1856511,0.39563203
04030623,-0.42548022,-0.73493427,-0.20298868,-1.1682612,0.2824637
04030724,0.42661682,0.16230048,0.32230768,-0.019485358,0.84044045
04030725,0.65903592,0.48391852,0.58420837,0.31869304,0.8325755
04030726,0.38972443,0.056522332,0.19385216,-0.088392064,0.9557935
04030827,-0.16118592,-0.54271173,-0.32735127,-0.6852473,0.64585501
04030828,0.47185403,0.31873763,0.4519304,0.14277439,0.64833099
04030929,0.23168164,0.25389126,0.78060013,-0.30688652,0.08613044
04030930,0.58110809,0.44995263,0.7745077,0.065019712,0.6695956
04030931,0.75297207,0.071912505,0.45340353,-0.31922826,1.9144474
04031032,0.6292817,0.42338002,0.48586625,0.30408162,0.87641549
04041134,0.61053526,0.46467638,1.0780118,-0.2110126,0.70032728
04041135,0.92786109,1.0520639,1.4178919,0.54506254,0.39869064
04041136,1.0474088,0.96855789,1.0721226,0.73502523,0.91981852
04041137,0.64195496,0.46825463,0.52277458,0.35090095,0.82048672
04041238,0.58061749,0.79747272,0.72414064,0.76379418,-0.01291007
04041240,1.4479475,1.4260308,1.4878534,1.1728531,1.0995479
04041241,0.90706253,0.70623755,0.95049244,0.36721465,1.0561448
04041342,-0.0044808351,-0.30767316,-0.056939695,-0.51712084,0.59793687
04041343,0.26918936,0.23397754,0.55205148,-0.11549316,0.24590608
04041344,0.89329863,0.55326748,0.76950496,0.26278859,1.3324387
04051445,0.34407574,0.22281779,0.2276179,0.18811841,0.49904197
04051446,0.71207547,0.47948563,0.62098563,0.27364483,0.98579699
04051447,0.23022982,0.25807133,0.35410985,0.12740298,0.10462771
04051448,0.50680256,0.3977474,0.45948148,0.28264073,0.58905232
04051549,0.27436525,0.15036353,0.1901865,0.090363711,0.45112386
04051550,0.42094499,0.29804263,0.37988541,0.17620638,0.55307734
04051551,0.13345943,-0.11703369,0.076690577,-0.29505354,0.59531522
04051652,0.50038677,0.3675558,0.54078072,0.14500964,0.62488168
04051653,0.39140964,0.057848804,0.43445691,-0.32652187,0.9405005
04051654,-0.16176249,0.39623004,0.76121449,-0.021923369,-1.2844155
04051655,0.17598797,-0.28761634,0.22177975,-0.75841802,1.0389584
04051656,0.39103451,0.64753592,0.69490665,0.51327419,-0.24128585
05010101,-0.21178123,0.10170034,0.074623734,0.11513007,-0.79329103
05010102,-0.33683869,-0.31586474,-0.53868663,-0.05065788,-0.27318272
05010103,0.37821719,0.21975741,0.51172274,-0.10169654,0.57929391
05010204,-1.9558531,-1.0426666,-1.2804589,-0.6649617,-3.2789166
05010205,1.4602326,1.3877088,1.2989478,1.2902572,1.2227659
05010206,-1.1114372,-0.97368777,-1.2576244,-0.55909479,-1.0739543
05010207,-1.3788049,-1.8554343,-1.7087029,-1.7531904,-0.045680828
05010208,-1.0760313,-1.0767269,-1.398191,-0.61077988,-0.76255935
05010209,0.65317768,0.50187588,0.38929099,0.54711545,0.79499835
05010310,-1.0405668,-0.92750442,-1.2656024,-0.46494734,-0.96777713
05010311,-1.4463537,-0.97231317,-1.5579457,-0.25620872,-1.9841075
05010312,-1.8411947,-1.5688882,-1.8799126,-1.0473391,-1.8806976
05010313,-0.80130631,-0.69454551,-1.1232907,-0.17260131,-0.7733373
05010314,-0.58093691,-0.76313215,-1.0137084,-0.41015351,-0.034757242
05020415,1.3949385,1.4084848,1.3378599,1.2901093,0.99788576
05020416,0.81629407,0.6911397,0.6282056,0.66133177,0.85733563
05020417,1.0580399,1.0279235,0.79412448,1.1237884,0.85238355
05020418,0.55105352,0.35351032,0.11887859,0.5407055,0.82354534
05020419,-0.92996526,-0.76546085,-1.2831056,-0.14510113,-0.97899199
05020521,1.3235457,1.241917,1.006054,1.3111306,1.1519811
05020522,-1.1693801,-1.5889202,-2.0252774,-0.93935037,0.032968991
05020523,-1.904845,-2.2745092,-2.5967569,-1.6470518,-0.61516374
05020524,0.85843402,0.79369748,0.92531264,0.55557835,0.7507214
05020625,-0.37231207,-0.38690189,-0.77817178,0.056285236,-0.214341
05020626,-0.65426117,-0.68384296,-1.0062479,-0.26967511,-0.39494428
05020627,-1.4842924,-1.2619315,-0.75903767,-1.5954905,-1.5762937
05020628,0.045200083,-0.033830967,-0.26602423,0.20290197,0.21124192
05020629,1.2863859,1.1806178,1.2373357,0.96547633,1.1530007
05030730,0.33326945,0.40839788,0.30124399,0.46075001,0.098073564
05030731,-0.61101556,-0.79444689,-1.2807609,-0.20152837,-0.037233256
05030832,-0.26680931,-0.23266858,-0.48763302,0.053516984,-0.24652916
05030833,0.52505225,1.3249283,1.1132791,1.3587891,-1.2344582
05040934,0.71147394,1.3832829,1.3904873,1.1904598,-0.85227841
05040936,1.6336483,1.423622,1.3739984,1.2822138,1.6276668
05040937,1.7568562,1.3293455,1.4208442,1.0594656,2.1518533
05040938,1.3607212,1.49131,1.3857694,1.3967361,0.73630226
06010101,0.99769193,1.144978,1.1554327,0.98088217,0.42825714
06010102,0.6966663,0.57912159,0.61195588,0.46857661,0.74737149
06010103,0.78188407,0.6763463,0.6317113,0.63022429,0.79077458
06010204,0.35955608,0.25129947,0.15194185,0.31693596,0.49132267
06010205,0.72235817,0.39498413,0.32227585,0.41469064,1.2023753
06010206,0.49698901,0.40633535,0.51581115,0.24233462,0.54084289
06010207,0.46867386,0.2265702,0.23861155,0.18412605,0.83650798
06010208,0.32908306,0.11758331,0.2238875,-0.0044990447,0.66508049
06010209,0.42643419,0.32822356,0.32987651,0.28252724,0.51244158
06010210,0.46535304,0.081013493,0.16184826,-0.010692239,1.1196473
06020301,0.29435882,0.2811361,0.3953388,0.12920852,0.23410861
06020302,0.81523901,0.80745959,0.70335191,0.80321658,0.619784
06020303,-0.084008589,-0.022441417,-0.22789234,0.18602085,-0.17239442
06020304,-0.055825192,0.19989078,0.068694837,0.30426395,-0.55370039
06020305,-0.78356153,-0.38126922,-0.31017476,-0.40120226,-1.4000598
06020306,0.74545825,0.88535047,0.86510891,0.78678942,0.26105347
06020407,-0.70386422,-0.5638544,-1.0286826,-0.023364237,-0.76736575
06020408,0.14106897,0.31039846,0.21644598,0.36269948,-0.23589687
06020409,0.42147246,0.73095649,0.5336684,0.8301596,-0.30959466
06020410,1.0842327,1.023175,0.99430948,0.91474372,0.91996413
06020411,0.97629648,0.86975861,0.74536377,0.87744308,0.94079179
06030501,1.3476524,1.0094718,1.0967407,0.78674477,1.6703417
06030502,0.38980094,0.22483619,0.113763,0.30573925,0.63012505
06030503,0.69466323,0.77298075,0.82222289,0.62001455,0.34465531
06030504,1.2366987,1.1124655,1.2164282,0.85922432,1.1509616
06030605,0.78952116,0.84597164,0.70360208,0.87482274,0.47253409
06030606,0.35100806,0.15164207,0.14275749,0.14017825,0.66464353
06030607,1.1131266,1.1840775,1.158866,1.050401,0.67119771
06030608,1.174644,1.1762837,1.2096684,0.98505688,0.85354877
06030609,0.94781399,0.85257441,0.79378974,0.79695457,0.89214545
06030610,1.259643,1.1473384,1.0553315,1.0853872,1.1575158
06040701,1.2719086,1.2694651,1.2358001,1.1327842,0.93787885
06040702,0.89553791,0.82339561,1.2926848,0.24361737,0.76863611
06040703,1.282246,1.2633644,1.2851329,1.0720688,0.97501904
06040804,1.5141971,1.3459086,1.4390315,1.0721823,1.4447333
06040805,1.4135389,1.1377476,1.182544,0.94028026,1.5941678
06040806,1.2517362,1.1745752,1.2510303,0.94050723,1.0677967
06040807,0.93878835,0.89724731,1.0940812,0.58001447,0.7574212
06040808,1.6534693,1.4561117,1.4001992,1.3166327,1.6167433
06040809,1.4258819,1.4160514,1.50346,1.1386268,1.0568731
06040810,1.4455111,1.5343759,1.5177282,1.3451301,0.87714368
07010101,-0.37765896,-0.30402049,0.42101169,-0.98825705,-0.47898307
07010102,-1.4472992,-1.8323439,-0.50518018,-2.9136307,-0.36799943
07010103,0.49761432,0.16147043,0.47277451,-0.17150091,1.0281805
07010104,-1.315892,-2.0356395,-0.96096343,-2.8371589,0.43000492
07020201,0.58743906,0.25419942,0.45127717,0.023011358,1.096198
07020202,-0.065366894,-0.35711482,-0.1130674,-0.55324203,0.5305019
07020203,-0.52572286,-0.78156191,-0.19993539,-1.2583129,0.096034497
07020204,-0.32984778,-0.27138829,0.05586791,-0.56222767,-0.384312
07030301,0.85534793,0.74825144,0.96379989,0.43229732,0.82893425
